epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0204,2.75572,4.8831,1.62788,0.00052,0.08333,0.00037,9e-05,1.75972,4.46126,1.31128,8.574e-05,8.574e-05,8.574e-05
2,29.0566,1.61878,4.05707,1.11385,0.00857,0.72982,0.00925,0.00515,1.448,4.04895,0.98798,0.000183931,0.000183931,0.000183931
3,40.8738,1.40046,2.75049,0.92181,0.01027,0.86015,0.11107,0.08312,1.1783,3.72154,0.89217,0.000280141,0.000280141,0.000280141
4,52.2503,1.22591,1.80935,0.90532,0.01149,0.93484,0.12887,0.09683,0.99881,3.46516,0.86746,0.000374371,0.000374371,0.000374371
5,63.6087,1.10678,1.26001,0.90042,0.01229,0.98246,0.17454,0.11792,1.0604,3.23534,0.88786,0.00046662,0.00046662,0.00046662
6,74.5598,1.06805,1.10938,0.88637,0.01236,1,0.51617,0.39152,0.98505,3.08534,0.88063,0.000556888,0.000556888,0.000556888
7,86.2751,1.0119,1.03607,0.88366,0.01224,1,0.7583,0.58335,0.94705,3.03477,0.8765,0.000645176,0.000645176,0.000645176
8,97.1766,1.0075,0.96688,0.87181,0.01221,1,0.77071,0.56997,1.01413,2.81838,0.88525,0.000731484,0.000731484,0.000731484
9,108.615,0.97818,0.9266,0.8865,1,0.04838,0.93029,0.68159,1.02507,2.64282,0.87619,0.00081581,0.00081581,0.00081581
10,119.677,0.96614,0.88292,0.87796,1,0.11287,0.95809,0.71281,0.96074,2.43362,0.86848,0.000898157,0.000898157,0.000898157
11,130.796,0.9519,0.82856,0.88306,1,0.23226,0.85921,0.63838,0.88063,2.37254,0.85961,0.000978522,0.000978522,0.000978522
12,142.604,0.92729,0.85031,0.86621,1,0.60066,0.99081,0.74836,0.90306,2.01971,0.85822,0.00105691,0.00105691,0.00105691
13,153.866,0.91865,0.82015,0.85785,1,0.55423,0.97574,0.73685,0.93567,2.04192,0.86461,0.00113331,0.00113331,0.00113331
14,165.311,0.89604,0.7633,0.86212,1,0.38348,0.99104,0.78951,0.84621,2.19213,0.8506,0.00120774,0.00120774,0.00120774
15,176.75,0.88274,0.76126,0.86904,0.97455,0.90957,0.99333,0.77549,0.84062,1.47352,0.85651,0.00123094,0.00123094,0.00123094
16,188.037,0.82201,0.70482,0.84778,0.97978,0.88227,0.98519,0.75667,0.85243,1.61952,0.85441,0.00121679,0.00121679,0.00121679
17,198.888,0.83015,0.7166,0.8544,0.98476,0.87534,0.99432,0.76673,0.85556,1.55428,0.8515,0.00120265,0.00120265,0.00120265
18,210.187,0.82105,0.70046,0.84211,0.91722,0.94264,0.99131,0.76638,0.84987,1.08703,0.85593,0.0011885,0.0011885,0.0011885
19,221.72,0.8119,0.68932,0.852,0.93398,0.9607,0.99398,0.8043,0.75859,0.8871,0.83934,0.00117435,0.00117435,0.00117435
20,233.088,0.82526,0.7174,0.84968,0.94429,0.94277,0.995,0.77971,0.79219,1.00854,0.845,0.00116021,0.00116021,0.00116021
21,244.152,0.80316,0.66694,0.84743,0.93805,0.97238,0.99481,0.77412,0.77367,0.89013,0.84254,0.00114606,0.00114606,0.00114606
22,255.59,0.74468,0.64543,0.83569,0.9658,0.98426,0.99398,0.77015,0.76365,0.76031,0.83873,0.00113191,0.00113191,0.00113191
23,267.506,0.76344,0.63844,0.82791,0.98185,1,0.995,0.807,0.7543,0.78802,0.83785,0.00111776,0.00111776,0.00111776
24,302.917,0.78239,0.64538,0.85535,0.98674,0.99853,0.995,0.78711,0.79007,0.66828,0.84239,0.00110362,0.00110362,0.00110362
25,314.584,0.77742,0.61644,0.84287,0.9815,1,0.995,0.79645,0.77275,0.6604,0.83941,0.00108947,0.00108947,0.00108947
26,325.865,0.76213,0.60742,0.8389,0.98693,1,0.995,0.80946,0.73203,0.62928,0.83058,0.00107532,0.00107532,0.00107532
27,337.293,0.74545,0.60597,0.84618,0.9916,1,0.995,0.80258,0.7514,0.61161,0.83323,0.00106118,0.00106118,0.00106118
28,348.634,0.71554,0.61774,0.83139,0.98914,1,0.995,0.82929,0.69424,0.59267,0.82819,0.00104703,0.00104703,0.00104703
29,360.132,0.74429,0.58367,0.83619,0.98932,1,0.995,0.80618,0.7134,0.58982,0.82757,0.00103288,0.00103288,0.00103288
30,371.325,0.74479,0.6119,0.83661,0.99172,0.99778,0.995,0.80606,0.71965,0.57424,0.82484,0.00101873,0.00101873,0.00101873
31,382.908,0.72518,0.55566,0.82766,0.99392,1,0.995,0.81049,0.71372,0.56007,0.82845,0.00100459,0.00100459,0.00100459
32,396.18,0.73326,0.54989,0.84113,0.99175,1,0.995,0.80701,0.72212,0.57516,0.83498,0.00099044,0.00099044,0.00099044
33,411.888,0.77543,0.58535,0.85223,0.99162,0.99875,0.995,0.84087,0.66852,0.57053,0.82268,0.000976293,0.000976293,0.000976293
34,423.127,0.7071,0.56088,0.82619,0.99454,1,0.995,0.82244,0.69097,0.55235,0.82734,0.000962146,0.000962146,0.000962146
35,434.844,0.69927,0.5374,0.84284,0.99461,1,0.995,0.82659,0.66821,0.51604,0.8227,0.000947999,0.000947999,0.000947999
36,446.648,0.69503,0.54359,0.82966,0.99509,1,0.995,0.8173,0.68611,0.55075,0.82603,0.000933851,0.000933851,0.000933851
37,458.133,0.75114,0.54649,0.83447,0.99518,0.9969,0.995,0.82175,0.66403,0.53233,0.82385,0.000919704,0.000919704,0.000919704
38,469.485,0.68627,0.52151,0.84639,0.99163,0.99865,0.995,0.83689,0.64304,0.51711,0.81743,0.000905557,0.000905557,0.000905557
39,480.726,0.68375,0.54492,0.82458,0.99068,1,0.995,0.82364,0.6567,0.53404,0.82066,0.00089141,0.00089141,0.00089141
40,491.98,0.67994,0.52909,0.84841,0.98667,1,0.995,0.84021,0.62647,0.50787,0.8215,0.000877263,0.000877263,0.000877263
41,503.125,0.68111,0.54162,0.82432,0.98944,1,0.995,0.85135,0.62731,0.51133,0.82119,0.000863116,0.000863116,0.000863116
42,514.555,0.66483,0.51672,0.82857,0.99366,1,0.995,0.84677,0.6333,0.50229,0.82116,0.000848969,0.000848969,0.000848969
