epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,172.361,0.79326,0.64203,0.85653,0.99039,0.96748,0.99206,0.77505,0.86143,0.84504,0.86749,0.000693351,0.000693351,0.000693351
28,178.758,0.81307,0.62854,0.84446,0.9836,0.97428,0.99409,0.79868,0.82284,0.82765,0.85099,0.000665057,0.000665057,0.000665057
29,184.961,0.78062,0.62996,0.84513,0.98383,0.97343,0.99409,0.80494,0.78008,0.82354,0.8469,0.000636762,0.000636762,0.000636762
30,191.583,0.72062,0.61454,0.84065,0.96337,0.9839,0.99438,0.79788,0.78441,0.78287,0.84173,0.000608468,0.000608468,0.000608468
31,198.058,0.78899,0.62098,0.85492,0.95873,0.99677,0.99438,0.79934,0.78573,0.7386,0.83836,0.000580174,0.000580174,0.000580174
32,204.372,0.74713,0.61112,0.84374,0.95935,0.99747,0.99391,0.81458,0.75235,0.65661,0.84251,0.00055188,0.00055188,0.00055188
33,210.39,0.72673,0.58259,0.84646,0.9599,0.99767,0.99391,0.80764,0.77867,0.64647,0.85029,0.000523586,0.000523586,0.000523586
34,216.989,0.72667,0.57232,0.83667,0.98648,0.97561,0.99391,0.80883,0.77467,0.63102,0.84781,0.000495291,0.000495291,0.000495291
35,223.407,0.71668,0.57928,0.85244,0.99143,0.97398,0.99413,0.80442,0.77459,0.61767,0.84339,0.000466997,0.000466997,0.000466997
36,229.695,0.72551,0.56153,0.83128,0.99142,0.98507,0.99469,0.82301,0.74829,0.59525,0.84204,0.000438703,0.000438703,0.000438703
37,235.766,0.66788,0.57945,0.83722,0.9912,0.98331,0.99469,0.81411,0.75145,0.593,0.84205,0.000410409,0.000410409,0.000410409
38,242.124,0.66523,0.55977,0.82813,0.99058,0.98229,0.99469,0.81394,0.73898,0.59203,0.84052,0.000382115,0.000382115,0.000382115
39,248.399,0.71436,0.57745,0.84748,0.98972,0.98371,0.99469,0.81297,0.74052,0.59279,0.83983,0.00035382,0.00035382,0.00035382
40,254.476,0.67725,0.56029,0.83456,0.98682,0.99187,0.99469,0.82849,0.70894,0.59684,0.83674,0.000325526,0.000325526,0.000325526
41,260.785,0.65567,0.53912,0.82763,0.98823,0.98858,0.99469,0.82836,0.71032,0.60164,0.83955,0.000297232,0.000297232,0.000297232
42,267.018,0.63488,0.54125,0.83286,0.98821,0.98832,0.99469,0.82287,0.7158,0.60708,0.8381,0.000268938,0.000268938,0.000268938
43,273.121,0.62865,0.53049,0.81995,0.98315,0.98374,0.99453,0.82701,0.72593,0.607,0.83492,0.000240644,0.000240644,0.000240644
44,279.904,0.61123,0.53032,0.8146,0.98072,0.98604,0.99453,0.83258,0.71184,0.58317,0.83274,0.000212349,0.000212349,0.000212349
45,285.963,0.5996,0.53111,0.81119,0.98193,0.98567,0.99453,0.83758,0.69775,0.56754,0.83198,0.000184055,0.000184055,0.000184055
46,292.283,0.58466,0.52445,0.8264,0.98336,0.98374,0.99453,0.8381,0.68813,0.55676,0.831,0.000155761,0.000155761,0.000155761
47,298.9,0.59734,0.51614,0.81693,0.98352,0.98546,0.99453,0.8381,0.69057,0.55737,0.83111,0.000127467,0.000127467,0.000127467
48,305.208,0.57324,0.50846,0.80748,0.98709,0.98374,0.99453,0.83847,0.69368,0.55497,0.83228,9.91726e-05,9.91726e-05,9.91726e-05
49,311.517,0.58514,0.51032,0.80574,0.98821,0.98374,0.99453,0.83816,0.69664,0.55292,0.83386,7.08784e-05,7.08784e-05,7.08784e-05
50,317.913,0.573,0.50328,0.81281,0.98848,0.98374,0.99453,0.84622,0.69504,0.54969,0.83411,4.25842e-05,4.25842e-05,4.25842e-05
