epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,300.363,0.71483,0.56122,0.83477,0.97779,0.99478,0.99429,0.8083,0.78235,0.60409,0.85615,0.000848969,0.000848969,0.000848969
43,307.419,0.72878,0.56311,0.84312,0.97566,0.99748,0.99429,0.80701,0.77724,0.5935,0.85695,0.000834822,0.000834822,0.000834822
44,314.382,0.72658,0.56903,0.8417,0.97723,0.99746,0.99444,0.81057,0.77418,0.60983,0.85863,0.000820675,0.000820675,0.000820675
45,321.425,0.70741,0.55352,0.84022,0.97812,0.99729,0.99429,0.80929,0.76264,0.61215,0.85313,0.000806528,0.000806528,0.000806528
46,328.46,0.72016,0.56282,0.83807,0.97809,0.99524,0.99429,0.82312,0.72804,0.59733,0.85037,0.00079238,0.00079238,0.00079238
47,335.533,0.69436,0.54379,0.83248,0.978,0.99085,0.99468,0.81257,0.74167,0.57092,0.85306,0.000778233,0.000778233,0.000778233
48,342.713,0.66549,0.52635,0.83553,0.97989,0.98901,0.99412,0.80122,0.74673,0.56618,0.85312,0.000764086,0.000764086,0.000764086
49,349.867,0.69733,0.54171,0.84222,0.98626,0.98821,0.99444,0.8232,0.72696,0.57824,0.84403,0.000749939,0.000749939,0.000749939
50,356.958,0.68879,0.53359,0.83204,0.97613,0.99134,0.99428,0.82242,0.73616,0.57074,0.84734,0.000735792,0.000735792,0.000735792
51,363.914,0.6907,0.53107,0.84588,0.97629,0.99935,0.99413,0.83665,0.70847,0.54735,0.84123,0.000721645,0.000721645,0.000721645
52,371.026,0.63928,0.49937,0.82163,0.97024,0.99814,0.99438,0.8273,0.69607,0.54345,0.84922,0.000707498,0.000707498,0.000707498
53,378.158,0.65738,0.52475,0.84146,0.99043,0.98212,0.99453,0.8343,0.6998,0.53238,0.84386,0.000693351,0.000693351,0.000693351
54,385.118,0.66765,0.52429,0.8334,0.99167,0.99091,0.99469,0.84034,0.70339,0.53585,0.84115,0.000679204,0.000679204,0.000679204
55,392.068,0.66336,0.52339,0.84515,0.99029,0.99187,0.99469,0.82136,0.69935,0.54139,0.84134,0.000665057,0.000665057,0.000665057
56,399.195,0.6616,0.52591,0.83863,0.98826,0.98093,0.99453,0.83174,0.70604,0.53483,0.84018,0.000650909,0.000650909,0.000650909
57,406.351,0.63431,0.49645,0.83214,0.98791,0.98026,0.99423,0.82555,0.71203,0.53346,0.84283,0.000636762,0.000636762,0.000636762
58,413.275,0.64506,0.5215,0.8314,0.9877,0.98054,0.99423,0.83114,0.69343,0.51711,0.84269,0.000622615,0.000622615,0.000622615
59,420.156,0.62195,0.48643,0.82046,0.98886,0.98134,0.99423,0.83003,0.69106,0.51571,0.84089,0.000608468,0.000608468,0.000608468
60,426.976,0.66491,0.50467,0.8449,0.98941,0.9812,0.99423,0.83619,0.68985,0.52718,0.83715,0.000594321,0.000594321,0.000594321
61,433.807,0.61737,0.504,0.83037,0.96668,0.99028,0.99375,0.84862,0.67213,0.52563,0.83512,0.000580174,0.000580174,0.000580174
62,440.927,0.6487,0.50655,0.83628,0.96592,0.99028,0.99296,0.84354,0.66942,0.51676,0.83562,0.000566027,0.000566027,0.000566027
63,447.853,0.6111,0.48943,0.82901,0.9662,0.99021,0.99296,0.83966,0.68664,0.52255,0.83866,0.00055188,0.00055188,0.00055188
64,454.822,0.6171,0.47771,0.82363,0.96929,0.99187,0.99375,0.83516,0.68512,0.51351,0.83628,0.000537733,0.000537733,0.000537733
65,461.75,0.58053,0.46593,0.81624,0.96955,0.99187,0.99375,0.83295,0.68729,0.51477,0.835,0.000523586,0.000523586,0.000523586
66,468.788,0.65326,0.50324,0.83956,0.96812,0.99187,0.99358,0.83119,0.69819,0.52236,0.83686,0.000509438,0.000509438,0.000509438
67,475.805,0.64567,0.49219,0.84727,0.99411,0.96805,0.99375,0.83266,0.70474,0.52297,0.83909,0.000495291,0.000495291,0.000495291
68,482.967,0.62686,0.50311,0.84816,0.99298,0.97436,0.99375,0.83298,0.69735,0.52604,0.83586,0.000481144,0.000481144,0.000481144
69,489.742,0.63641,0.49626,0.84504,0.99186,0.97561,0.99375,0.84302,0.66497,0.51909,0.83117,0.000466997,0.000466997,0.000466997
70,496.714,0.60573,0.48186,0.82657,0.98916,0.97561,0.99398,0.84238,0.66279,0.50552,0.83119,0.00045285,0.00045285,0.00045285
71,503.737,0.60889,0.45745,0.83006,0.98917,0.98374,0.99423,0.83615,0.67735,0.49687,0.83206,0.000438703,0.000438703,0.000438703
72,510.762,0.60521,0.45873,0.83017,0.99109,0.98374,0.99438,0.83603,0.65396,0.47894,0.83129,0.000424556,0.000424556,0.000424556
73,517.689,0.59416,0.46429,0.8185,0.99301,0.98374,0.99438,0.83875,0.65996,0.47967,0.83442,0.000410409,0.000410409,0.000410409
74,524.544,0.62366,0.4558,0.83028,0.98599,0.98554,0.99438,0.83877,0.66098,0.47511,0.83383,0.000396262,0.000396262,0.000396262
75,531.569,0.61197,0.45647,0.83891,0.98194,0.99187,0.99414,0.83675,0.66151,0.47506,0.83127,0.000382115,0.000382115,0.000382115
76,538.517,0.6425,0.47426,0.8366,0.98532,0.98781,0.99398,0.83131,0.67159,0.47303,0.83136,0.000367967,0.000367967,0.000367967
77,545.661,0.6012,0.46674,0.81384,0.97933,0.98374,0.99381,0.8313,0.6676,0.47163,0.83333,0.00035382,0.00035382,0.00035382
78,552.697,0.64099,0.48055,0.82777,0.97681,0.98947,0.99356,0.83444,0.65773,0.46468,0.83311,0.000339673,0.000339673,0.000339673
