epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0845,2.75572,4.8831,1.62788,0.00052,0.08333,0.00037,9e-05,1.75972,4.46126,1.31128,8.574e-05,8.574e-05,8.574e-05
2,56.558,1.61951,4.05953,1.11462,0.00859,0.72982,0.00932,0.00525,1.46249,4.05249,0.99687,0.000182092,0.000182092,0.000182092
3,108.924,1.4015,2.78672,0.92482,0.01029,0.86015,0.11493,0.08694,1.15786,3.72573,0.89492,0.000274482,0.000274482,0.000274482
4,132.909,1.21452,1.8564,0.90358,0.01112,0.92381,0.09479,0.07313,1.01957,3.51687,0.86796,0.000362912,0.000362912,0.000362912
5,144.301,1.09133,1.28659,0.90001,0.01224,0.98246,0.10054,0.0682,1.01934,3.33712,0.8797,0.00044738,0.00044738,0.00044738
6,155.774,1.0594,1.11281,0.88177,0.01231,0.98333,0.67376,0.51216,0.94392,3.14234,0.87842,0.000527887,0.000527887,0.000527887
7,167.234,1.02506,1.03069,0.8819,0.01228,1,0.79017,0.58216,0.98809,3.03552,0.88709,0.000604433,0.000604433,0.000604433
8,178.545,1.02425,0.9787,0.87395,0.01221,1,0.67487,0.47793,1.01099,2.85836,0.89669,0.000677017,0.000677017,0.000677017
9,189.448,0.98163,0.92515,0.88745,0.52646,0.16397,0.5489,0.43011,0.93719,2.68275,0.86551,0.000745641,0.000745641,0.000745641
10,200.745,0.94699,0.8967,0.87444,0.43541,0.14813,0.60841,0.45982,0.96782,2.48936,0.86604,0.000810303,0.000810303,0.000810303
11,211.712,0.943,0.85018,0.88065,1,0.35028,0.96747,0.74475,0.87328,2.46588,0.85375,0.000871004,0.000871004,0.000871004
12,223.048,0.92546,0.84601,0.86218,1,0.61517,0.96116,0.7254,0.89484,2.00079,0.85983,0.000927744,0.000927744,0.000927744
